idx,epoch,direction,score,confidence,imbalance,bayes,hurst,won,hour
485002,1778804089,CALL,7,0.7777777777777778,2.0,0.53125,0.48787265457788775,True,0
485003,1778804090,CALL,10,1.0,2.0,0.5625,0.4878679277695947,True,0
485004,1778804091,CALL,10,0.8333333333333334,2.0,0.59375,0.4878465538299986,False,0
485005,1778804092,CALL,9,0.75,2.0,0.625,0.4879839794992633,False,0
485006,1778804093,CALL,10,0.8333333333333334,4.0,0.65625,0.4881544373597408,False,0
485007,1778804094,CALL,8,0.6666666666666666,4.0,0.65625,0.488212147725694,False,0
485012,1778804099,CALL,7,0.7,0.0,0.59375,0.4883986364264026,False,0
485013,1778804100,PUT,7,0.6363636363636364,-2.0,0.59375,0.4884148683247013,True,0
485014,1778804101,PUT,7,0.6363636363636364,-4.0,0.5625,0.48836480564668394,True,0
485016,1778804103,PUT,7,0.7,-8.0,0.5,0.48852519741284534,False,0
485018,1778804105,PUT,7,0.7,-6.0,0.46875,0.4884584980646313,True,0
485020,1778804107,CALL,9,0.75,-2.0,0.46875,0.48837279847976345,False,0
485022,1778804109,PUT,8,0.6666666666666666,-4.0,0.46875,0.4886399174383788,False,0
485023,1778804110,CALL,7,0.6363636363636364,-2.0,0.46875,0.4887144753888766,True,0
485024,1778804111,CALL,8,0.8,0.0,0.46875,0.4886835471814158,True,0
485026,1778804113,CALL,9,0.9,2.0,0.46875,0.4887056058303976,True,0
485027,1778804114,CALL,9,0.9,2.0,0.5,0.48866165085988045,True,0
485028,1778804115,CALL,7,0.7,2.0,0.5,0.4886515756506601,True,0
485029,1778804116,CALL,9,0.8181818181818182,2.0,0.5,0.5177575843395451,True,0
485031,1778804118,CALL,10,0.9090909090909091,2.0,0.46875,0.5689756493515045,True,0
485033,1778804120,CALL,10,0.9090909090909091,2.0,0.46875,0.5507830080950316,True,0
485034,1778804121,CALL,10,1.0,2.0,0.46875,0.5774535065828134,True,0
485035,1778804122,CALL,9,0.9,4.0,0.46875,0.5867298338980913,True,0
485036,1778804123,CALL,10,0.9090909090909091,4.0,0.46875,0.5999202176400995,False,0
485037,1778804124,CALL,7,0.6363636363636364,2.0,0.46875,0.5940049189137674,False,0
485039,1778804126,CALL,8,0.7272727272727273,2.0,0.5,0.5857781495677861,False,0
485040,1778804127,CALL,10,0.8333333333333334,4.0,0.53125,0.5526907294494341,False,0
485044,1778804131,PUT,8,0.6666666666666666,-2.0,0.5,0.5635679870676487,False,0
485048,1778804135,CALL,8,0.8888888888888888,0.0,0.5625,0.552661846480918,False,0
485049,1778804136,CALL,7,0.875,0.0,0.5625,0.5459453794040104,False,0
485052,1778804139,CALL,8,0.8,2.0,0.59375,0.5385478122889753,False,0
485054,1778804141,CALL,8,0.8,4.0,0.5625,0.5366023264900343,True,0
485056,1778804143,CALL,7,0.7777777777777778,2.0,0.5625,0.5112941187077309,True,0
485058,1778804145,CALL,8,0.8888888888888888,4.0,0.59375,0.5352774727993469,True,0
485059,1778804146,CALL,8,0.8888888888888888,4.0,0.59375,0.5721498352375897,True,0
485061,1778804148,CALL,8,0.8888888888888888,4.0,0.59375,0.5331604062402425,False,0
