idx,epoch,direction,score,confidence,imbalance,bayes,hurst,won,hour
605002,1778976913,PUT,9,0.8181818181818182,-2.0,0.4375,0.49065754532673683,False,0
605003,1778976914,PUT,7,0.6363636363636364,-2.0,0.4375,0.4897900405952564,False,0
605016,1778976927,PUT,7,0.875,-2.0,0.5,0.4867407409989062,False,0
605022,1778976933,PUT,8,0.8888888888888888,-4.0,0.46875,0.473323669194492,False,0
605024,1778976935,PUT,9,0.9,-4.0,0.4375,0.474220168286419,False,0
605025,1778976936,PUT,8,0.8888888888888888,-4.0,0.4375,0.4732977934698706,False,0
605026,1778976937,PUT,7,0.7,-2.0,0.4375,0.4777008847114919,False,0
605028,1778976939,PUT,8,0.8888888888888888,-4.0,0.4375,0.4642526174054181,False,0
605031,1778976942,CALL,7,0.7777777777777778,2.0,0.53125,0.5799176348517009,False,0
605032,1778976943,CALL,8,0.8,4.0,0.5625,0.570615964390827,False,0
605034,1778976945,CALL,7,0.7777777777777778,4.0,0.53125,0.5338350782552328,False,0
605035,1778976946,CALL,7,0.7777777777777778,6.0,0.53125,0.5399490664345792,False,0
605039,1778976950,PUT,7,0.875,0.0,0.4375,0.5771617196505817,False,0
605041,1778976952,PUT,8,0.8888888888888888,-2.0,0.4375,0.5282473221769659,False,0
605048,1778976959,PUT,7,1.0,0.0,0.46875,0.5604355065077762,True,0
605050,1778976961,CALL,7,0.7777777777777778,2.0,0.53125,0.5093824311905565,False,0
605053,1778976964,PUT,7,0.875,-2.0,0.5,0.520564287652847,False,0
605054,1778976965,PUT,7,0.875,-4.0,0.5,0.5166243036267864,False,0
605060,1778976971,PUT,7,0.6363636363636364,0.0,0.53125,0.5581507276111395,True,0
605061,1778976972,CALL,9,0.9,2.0,0.53125,0.5791611798802481,False,0
605066,1778976977,PUT,9,0.9,-2.0,0.4375,0.5908033145294704,True,0
605067,1778976978,PUT,11,0.9166666666666666,-4.0,0.4375,0.5896634031356595,True,0
