idx,epoch,direction,score,confidence,imbalance,bayes,hurst,won,hour
300,1778098689,PUT,9,0.9,-2.0,0.375,0.4525841448421039,True,20
304,1778098693,PUT,8,0.8,0.0,0.375,0.4124807383499726,True,20
306,1778098695,PUT,9,0.9,-2.0,0.375,0.41178664560305855,False,20
310,1778098699,PUT,8,1.0,0.0,0.40625,0.4297140330973835,True,20
312,1778098701,PUT,8,0.8888888888888888,-2.0,0.40625,0.4723048429884741,True,20
313,1778098702,PUT,8,0.8888888888888888,-2.0,0.40625,0.4077974514516708,True,20
314,1778098703,PUT,8,0.8,-2.0,0.40625,0.48946394567118334,True,20
315,1778098704,PUT,8,0.8,-4.0,0.375,0.5451453813146723,True,20
316,1778098705,PUT,8,0.8,-4.0,0.34375,0.5331803790317494,True,20
317,1778098706,PUT,9,0.8181818181818182,-6.0,0.34375,0.5441699056037496,False,20
318,1778098707,PUT,9,0.8181818181818182,-8.0,0.34375,0.5589281051300696,True,20
319,1778098708,PUT,7,0.6363636363636364,-6.0,0.375,0.49909445010088116,True,20
325,1778098714,PUT,9,1.0,-4.0,0.375,0.45356665267918805,False,20
326,1778098715,PUT,9,0.8181818181818182,-4.0,0.34375,0.45916259058308956,False,20
327,1778098716,PUT,8,0.8,-4.0,0.3125,0.45257719646788325,False,20
328,1778098717,PUT,7,0.7777777777777778,-2.0,0.34375,0.4591232219890929,False,20
332,1778098721,CALL,7,0.6363636363636364,2.0,0.40625,0.571712514594528,False,20
333,1778098722,PUT,7,0.6363636363636364,2.0,0.40625,0.5624752570705811,True,20
334,1778098723,PUT,7,0.875,0.0,0.40625,0.5353299965772751,True,20
335,1778098724,PUT,8,1.0,0.0,0.375,0.535213118062504,True,20
337,1778098726,PUT,8,0.8888888888888888,2.0,0.375,0.5435359628711868,True,20
338,1778098727,PUT,8,0.8888888888888888,0.0,0.34375,0.5433912352893985,False,20
340,1778098729,PUT,10,0.9090909090909091,-2.0,0.375,0.5777560636160041,True,20
342,1778098731,PUT,10,1.0,-4.0,0.375,0.5814606211818291,True,20
344,1778098733,PUT,9,1.0,-2.0,0.40625,0.5494030634333641,True,20
345,1778098734,PUT,9,1.0,-2.0,0.40625,0.5514666028549218,True,20
346,1778098735,PUT,8,0.8,-4.0,0.40625,0.5485153246326865,True,20
347,1778098736,PUT,9,0.8181818181818182,-4.0,0.40625,0.5466211866273509,True,20
349,1778098738,PUT,10,0.8333333333333334,-4.0,0.40625,0.5540403184858305,False,20
352,1778098741,PUT,7,0.7777777777777778,-2.0,0.4375,0.548596796125599,False,20
353,1778098742,PUT,9,1.0,-4.0,0.4375,0.5579441803305093,False,20
355,1778098744,PUT,10,1.0,-2.0,0.4375,0.5707291972055917,False,20
356,1778098745,PUT,10,1.0,-2.0,0.4375,0.5719456755244681,False,20
359,1778098748,CALL,7,0.7,2.0,0.46875,0.5724698258505341,True,20
360,1778098749,CALL,7,0.7,2.0,0.46875,0.5688504250405642,True,20
361,1778098750,CALL,7,0.7,2.0,0.46875,0.5603897882927701,True,20
362,1778098751,CALL,8,0.7272727272727273,4.0,0.46875,0.5665600259466095,True,20
363,1778098752,CALL,7,0.7,6.0,0.5,0.5859214540892058,True,20
368,1778098757,CALL,9,0.9,8.0,0.59375,0.6049959877680314,False,20
371,1778098760,CALL,8,0.8888888888888888,4.0,0.5625,0.6035993004138619,False,20
377,1778098766,PUT,7,0.7,-2.0,0.59375,0.6012999622167501,False,20
379,1778098768,PUT,7,0.7777777777777778,-2.0,0.59375,0.611067391106594,False,20
383,1778098772,CALL,8,0.8888888888888888,2.0,0.625,0.5774542562881944,False,20
388,1778098777,PUT,7,0.7777777777777778,-2.0,0.5625,0.5293270257782068,False,20
394,1778098783,PUT,7,0.875,-4.0,0.4375,0.5340556994848935,True,20
395,1778098784,PUT,8,0.7272727272727273,-4.0,0.40625,0.5320892742743414,True,20
396,1778098785,PUT,8,0.7272727272727273,-6.0,0.40625,0.5733905097580564,False,20
398,1778098787,PUT,10,0.8333333333333334,-4.0,0.375,0.5872991866889434,False,20
